cnty_fips,display_name,Value
20015,"""Butler, (KS)""",229.2
20017,"""Chase, (KS)""",239.3
20019,"""Chautauqua, (KS)""",281.3
20021,"""Cherokee, (KS)""",336
20023,"""Cheyenne, (KS)""",171.5
20025,"""Clark, (KS)""",235
20027,"""Clay, (KS)""",206.3
20029,"""Cloud, (KS)""",240.9
20031,"""Coffey, (KS)""",255.6
20033,"""Comanche, (KS)""",273.7
20035,"""Cowley, (KS)""",246.2
20037,"""Crawford, (KS)""",257.6
20039,"""Decatur, (KS)""",203.1
20041,"""Dickinson, (KS)""",224.6
20043,"""Doniphan, (KS)""",237.2
20045,"""Douglas, (KS)""",197.2
20047,"""Edwards, (KS)""",225.9
20049,"""Elk, (KS)""",265.6
20051,"""Ellis, (KS)""",209.7
20053,"""Ellsworth, (KS)""",214.4
20055,"""Finney, (KS)""",159.1
20057,"""Ford, (KS)""",226.9
20059,"""Franklin, (KS)""",251.6
20061,"""Geary, (KS)""",312.2
20063,"""Gove, (KS)""",196
20065,"""Graham, (KS)""",209.7
20067,"""Grant, (KS)""",221.7
20069,"""Gray, (KS)""",186.7
20071,"""Greeley, (KS)""",217.4
20073,"""Greenwood, (KS)""",244.3
20075,"""Hamilton, (KS)""",243.9
20077,"""Harper, (KS)""",236.8
20079,"""Harvey, (KS)""",213.7
20081,"""Haskell, (KS)""",184
20083,"""Hodgeman, (KS)""",218.8
20085,"""Jackson, (KS)""",255
20087,"""Jefferson, (KS)""",210.3
20089,"""Jewell, (KS)""",236.2
20091,"""Johnson, (KS)""",190.4
20093,"""Kearny, (KS)""",168.1
20095,"""Kingman, (KS)""",297.3
20097,"""Kiowa, (KS)""",231.6
20099,"""Labette, (KS)""",287.5
20101,"""Lane, (KS)""",161.2
20103,"""Leavenworth, (KS)""",211.9
20105,"""Lincoln, (KS)""",215.3
20107,"""Linn, (KS)""",222.7
20109,"""Logan, (KS)""",190.6
20111,"""Lyon, (KS)""",229.3
20113,"""McPherson, (KS)""",211.8
20115,"""Marion, (KS)""",221.2
20117,"""Marshall, (KS)""",190.5
20119,"""Meade, (KS)""",232
20121,"""Miami, (KS)""",200.8
20123,"""Mitchell, (KS)""",236.8
20125,"""Montgomery, (KS)""",312.3
20127,"""Morris, (KS)""",229.2
20129,"""Morton, (KS)""",277.8
20131,"""Nemaha, (KS)""",201.5
20133,"""Neosho, (KS)""",254
20135,"""Ness, (KS)""",196.3
20137,"""Norton, (KS)""",203.2
20139,"""Osage, (KS)""",204
20141,"""Osborne, (KS)""",210.3
20143,"""Ottawa, (KS)""",213.8
20145,"""Pawnee, (KS)""",218.4
20147,"""Phillips, (KS)""",209.9
20149,"""Pottawatomie, (KS)""",198.5
20151,"""Pratt, (KS)""",223.1
20153,"""Rawlins, (KS)""",202.8
20155,"""Reno, (KS)""",203.1
20157,"""Republic, (KS)""",227.5
20159,"""Rice, (KS)""",209.9
20161,"""Riley, (KS)""",189.7
20163,"""Rooks, (KS)""",207.4
20165,"""Rush, (KS)""",208.4
20167,"""Russell, (KS)""",217.9
20169,"""Saline, (KS)""",213
20171,"""Scott, (KS)""",160.7
20173,"""Sedgwick, (KS)""",210.6
20175,"""Seward, (KS)""",232.9
20177,"""Shawnee, (KS)""",212.3
20179,"""Sheridan, (KS)""",185.7
20181,"""Sherman, (KS)""",189.6
20183,"""Smith, (KS)""",213.2
20185,"""Stafford, (KS)""",209.4
20187,"""Stanton, (KS)""",209.4
20189,"""Stevens, (KS)""",198.9
20191,"""Sumner, (KS)""",216.6
20193,"""Thomas, (KS)""",194.4
20195,"""Trego, (KS)""",199.8
20197,"""Wabaunsee, (KS)""",196.7
20199,"""Wallace, (KS)""",186.2
20201,"""Washington, (KS)""",199.2
20203,"""Wichita, (KS)""",191.9
20205,"""Wilson, (KS)""",271.2
20207,"""Woodson, (KS)""",252.6
20209,"""Wyandotte, (KS)""",249.6
22017,"""Caddo, (LA)""",243.7
27013,"""Blue Earth, (MN)""",176.7
27015,"""Brown, (MN)""",153.3
27033,"""Cottonwood, (MN)""",204.9
27043,"""Faribault, (MN)""",212.9
27063,"""Jackson, (MN)""",195.3
27079,"""Le Sueur, (MN)""",176.5
27081,"""Lincoln, (MN)""",189.3
27083,"""Lyon, (MN)""",161.7
27091,"""Martin, (MN)""",190.8
27101,"""Murray, (MN)""",180.1
27103,"""Nicollet, (MN)""",166.5
27105,"""Nobles, (MN)""",183.7
27117,"""Pipestone, (MN)""",204.8
27127,"""Redwood, (MN)""",201.2
27133,"""Rock, (MN)""",206.6
27143,"""Sibley, (MN)""",153.5
27165,"""Watonwan, (MN)""",191.4
29003,"""Andrew, (MO)""",218.4
29005,"""Atchison, (MO)""",220.1
29009,"""Barry, (MO)""",273.5
29011,"""Barton, (MO)""",274.6
29013,"""Bates, (MO)""",259.6
29021,"""Buchanan, (MO)""",250.7
29025,"""Caldwell, (MO)""",234.4
29037,"""Cass, (MO)""",214.7
29039,"""Cedar, (MO)""",277.4
29047,"""Clay, (MO)""",197.3
29049,"""Clinton, (MO)""",257.2
29057,"""Dade, (MO)""",272.6
29061,"""Daviess, (MO)""",242.7
29063,"""DeKalb, (MO)""",239.3
29075,"""Gentry, (MO)""",222.7
29081,"""Harrison, (MO)""",239.9
29083,"""Henry, (MO)""",288.9
29087,"""Holt, (MO)""",210.9
29095,"""Jackson, (MO)""",219.4
29097,"""Jasper, (MO)""",285
29101,"""Johnson, (MO)""",240.1
29107,"""Lafayette, (MO)""",229.3
29109,"""Lawrence, (MO)""",275.7
29119,"""McDonald, (MO)""",262.7
29145,"""Newton, (MO)""",289.5
29147,"""Nodaway, (MO)""",214.4
29165,"""Platte, (MO)""",187.3
29177,"""Ray, (MO)""",237.5
29185,"""St. Clair, (MO)""",270.5
29217,"""Vernon, (MO)""",257.2
29227,"""Worth, (MO)""",230.9
31001,"""Adams, (NE)""",203
31003,"""Antelope, (NE)""",205.6
31005,"""Arthur, (NE)""",171.5
31007,"""Banner, (NE)""",188.3
31009,"""Blaine, (NE)""",214.8
31011,"""Boone, (NE)""",213.1
31013,"""Box Butte, (NE)""",215.1
31015,"""Boyd, (NE)""",241.3
31017,"""Brown, (NE)""",211.5
